Date_ID,registration,error
257,13.02.2018,0
258,02.20.2018,1
259,09.10.2017,0
260,24.10.2017,0
261,13.11.2017,0
262,20.11.201,1
263,20.11.201,1
264,27.11.201,1
265,04.12.201,1
266,07.03.2018,0
267,23.05.2018,0
268,28.05.2018,0
269,29.01.2018,0
270,27.10.2014,0
271,,1
272,14-01.2016,0
273,06.11.2017,0
274,8.T0.20T,1
275,19.10.201,1
276,,1
277,11.08.2016,0
278,,1
279,,1
280,07.10.2015,0
281,04.07.2018,0
282,26.02.2018,0
283,04.12.2017,0
284,16.06.2016,0
285,28.07.2017,0
286,1.9.01.2018,1
287,02.20.2018,1
288,25.05.2018,0
289,13.07.2018,0
290,01.08.2018,0
291,08.10.2018,0
292,04.06.2018,0
293,14-01.2016,0
